Product Name,Category,Cost Price,Stock Level,Restock Date,Warehouse/Store ID
Product_124,Electronics,4572.49,88,2024-07-14,22
Product_125,Furniture,2016.44,242,2024-10-20,23
Product_126,Sports,3548.69,256,2024-05-01,6
Product_127,Furniture,1920.19,133,2024-01-10,1
Product_128,Sports,3669.84,272,2024-03-29,9
Product_129,Sports,909.32,123,2024-06-29,5
Product_130,Groceries,4187.63,8,2024-07-24,15
Product_131,Sports,4916.64,375,2024-10-02,1
Product_132,Furniture,3840.57,64,2024-10-01,2
Product_133,Sports,1827.67,270,2024-08-10,20
Product_134,Groceries,2798.26,400,2024-10-31,18
Product_135,Groceries,3364.52,311,2024-11-11,10
Product_136,Furniture,1004.72,127,2024-03-21,14
Product_137,Clothing,1450.37,497,2024-09-18,9
Product_138,Clothing,4018.77,177,2024-12-30,13
Product_139,Sports,4729.16,192,2024-01-13,3
Product_140,Electronics,1397.8,410,2024-05-23,22
Product_141,Sports,780.54,306,2024-07-03,23
Product_142,Furniture,4909.03,69,2024-10-01,14
Product_143,Furniture,1633.84,147,2024-08-04,5
Product_144,Furniture,3903.45,81,2024-02-01,21
Product_145,Furniture,1926.11,452,2024-11-11,13
Product_146,Furniture,4747.94,461,2024-08-23,21
Product_147,Groceries,3017.7,444,2024-12-01,5
Product_148,Clothing,2104.82,286,2024-10-11,11
Product_149,Furniture,932.75,249,2024-03-28,16
Product_150,Electronics,1315.13,401,2024-06-15,7
Product_151,Electronics,4292.0,242,2024-10-14,10
Product_152,Electronics,331.88,17,2024-05-23,1
Product_153,Electronics,826.37,358,2024-06-28,15
Product_154,Groceries,1003.51,453,2024-03-25,18
Product_155,Electronics,399.86,290,2024-03-15,3
Product_156,Furniture,3443.92,421,2024-05-23,2
Product_157,Sports,4907.3,130,2024-09-08,14
Product_158,Electronics,739.04,284,2024-01-04,2
Product_159,Groceries,4004.72,38,2024-03-13,19
Product_160,Groceries,923.7,179,2024-11-13,17
Product_161,Electronics,4870.21,38,2024-12-27,18
Product_162,Sports,2559.9,313,2024-03-10,23
Product_163,Electronics,4245.2,227,2024-09-17,13
Product_164,Groceries,894.25,488,2024-05-27,18
Product_165,Clothing,4432.02,468,2024-06-27,1
Product_166,Furniture,454.11,121,2024-09-10,22
Product_167,Groceries,163.32,487,2024-08-05,12
Product_168,Electronics,3559.35,493,2024-07-19,13
Product_169,Furniture,577.28,55,2024-12-21,9
Product_170,Electronics,4335.72,374,2024-10-04,2
Product_171,Electronics,3125.31,313,2024-02-19,20
Product_172,Clothing,1688.36,131,2024-02-05,13
Product_173,Furniture,1422.51,56,2024-10-30,6
Product_174,Furniture,455.54,378,2024-10-29,24
Product_175,Clothing,3449.25,315,2024-05-01,21
Product_176,Groceries,4589.29,356,2024-03-17,3
Product_177,Electronics,3796.02,64,2024-01-24,10
Product_178,Sports,3116.0,238,2024-07-14,10
Product_179,Electronics,637.61,14,2024-02-15,18
Product_180,Electronics,4146.77,403,2024-08-23,6
Product_181,Groceries,4828.65,9,2024-02-18,6
Product_182,Electronics,1350.95,19,2024-05-14,15
Product_183,Clothing,2130.8,356,2024-10-24,8
Product_184,Clothing,119.55,212,2024-07-02,6
Product_185,Furniture,4167.93,108,2024-07-11,3
Product_186,Sports,152.69,467,2024-06-12,11
Product_187,Electronics,2458.22,94,2024-05-24,11
Product_188,Electronics,2903.52,423,2024-11-14,3
Product_189,Groceries,324.93,350,2024-12-27,16
Product_190,Clothing,919.56,101,2024-09-01,15
Product_191,Sports,3964.63,50,2024-12-04,4
Product_192,Furniture,1300.04,12,2024-12-27,13
Product_193,Clothing,3637.37,120,2024-05-08,8
Product_194,Furniture,3758.48,265,2024-06-05,5
Product_195,Groceries,2066.23,255,2024-05-03,18
Product_196,Groceries,365.57,255,2024-03-23,13
Product_197,Electronics,103.49,155,2024-08-11,8
Product_198,Sports,2487.94,334,2024-11-15,4
Product_199,Furniture,403.7,475,2024-07-17,23
Product_200,Clothing,3646.04,284,2024-06-25,24
Product_201,Groceries,1935.08,123,2024-10-29,6
Product_202,Electronics,3432.28,483,2024-10-13,9
Product_203,Electronics,2070.4,320,2024-08-10,24
Product_204,Furniture,3160.26,371,2024-01-21,11
Product_205,Groceries,4173.44,377,2024-07-05,24
Product_206,Sports,4428.04,214,2024-10-24,21
Product_207,Groceries,133.57,419,2024-08-06,11
Product_208,Furniture,3245.25,280,2024-08-04,20
Product_209,Furniture,2842.47,357,2024-08-31,7
Product_210,Groceries,3203.34,186,2024-04-28,4
Product_211,Furniture,337.57,306,2024-12-09,21
Product_212,Groceries,395.99,379,2024-03-21,7
Product_213,Clothing,2510.05,80,2024-08-21,14
Product_214,Groceries,332.72,327,2024-04-12,16
Product_215,Groceries,3893.23,386,2024-02-10,11
Product_216,Furniture,3873.76,446,2024-05-08,2
Product_217,Furniture,630.75,200,2024-11-09,2
Product_218,Electronics,2302.54,106,2024-10-05,9
Product_219,Electronics,2995.16,357,2024-02-25,6
Product_220,Clothing,4304.26,152,2024-03-12,4
Product_221,Electronics,4942.73,27,2024-10-13,7
Product_222,Groceries,135.25,44,2024-03-24,12
Product_223,Furniture,2407.88,419,2024-02-20,20
Product_224,Electronics,4026.26,163,2024-06-06,18
Product_225,Electronics,3989.53,144,2024-05-08,13
Product_226,Clothing,2732.08,195,2024-03-22,10
Product_227,Clothing,952.18,26,2024-03-06,8
Product_228,Groceries,2817.53,147,2024-10-14,19
Product_229,Furniture,1988.19,363,2024-02-03,1
Product_230,Clothing,2075.13,318,2024-08-11,13
Product_231,Electronics,1676.91,143,2024-07-22,2
Product_232,Furniture,765.21,237,2024-10-17,17
Product_233,Furniture,3704.28,351,2024-06-10,9
Product_234,Electronics,3557.02,272,2024-04-03,21
Product_235,Clothing,2737.02,371,2024-07-28,19
Product_236,Electronics,1806.24,417,2024-06-06,5
Product_237,Furniture,4122.29,401,2024-02-04,10
Product_238,Sports,841.51,450,2024-05-18,16
Product_239,Sports,2201.12,432,2024-04-03,21
Product_240,Groceries,3284.88,330,2024-11-28,3
Product_241,Electronics,4116.42,267,2024-05-25,18
Product_242,Electronics,3265.57,216,2024-02-11,1
Product_243,Groceries,632.64,36,2024-05-11,7
Product_244,Groceries,551.4,400,2024-07-30,15
Product_245,Groceries,299.64,299,2024-02-03,19
Product_246,Furniture,2821.88,225,2024-09-30,4
Product_247,Electronics,1252.55,467,2024-09-28,5
Product_248,Furniture,839.67,57,2024-05-22,4
Product_249,Groceries,470.61,208,2024-04-21,8
Product_250,Electronics,3226.85,83,2024-03-08,23
Product_251,Furniture,3779.4,258,2024-08-03,3
Product_252,Furniture,4295.94,384,2024-08-11,6
Product_253,Groceries,2997.29,347,2024-04-18,23
Product_254,Electronics,1803.47,127,2024-01-06,20
Product_255,Groceries,2378.55,46,2024-04-13,4
Product_256,Electronics,3198.95,229,2024-08-21,15
Product_257,Sports,3579.36,120,2024-09-27,21
Product_258,Clothing,3241.96,453,2024-07-04,2
Product_259,Clothing,4811.43,427,2024-03-23,12
Product_260,Clothing,3763.53,85,2024-04-01,21
Product_261,Groceries,3765.57,56,2024-10-05,6
Product_262,Sports,4108.04,12,2024-10-27,23
Product_263,Electronics,2328.87,487,2024-10-22,4
Product_264,Furniture,1356.54,259,2024-02-06,16
Product_265,Electronics,4090.38,236,2024-06-05,14
Product_266,Furniture,2347.69,215,2024-01-17,17
Product_267,Electronics,3055.52,265,2024-01-18,24
Product_268,Sports,2176.48,496,2024-10-28,13
Product_269,Furniture,2010.49,105,2024-03-11,6
Product_270,Groceries,3372.74,193,2024-03-13,14
Product_271,Electronics,3343.45,207,2024-01-29,10
Product_272,Electronics,1579.67,201,2024-10-08,12
Product_273,Furniture,985.48,246,2024-02-05,10
Product_274,Groceries,700.06,136,2024-09-16,2
Product_275,Groceries,613.2,246,2024-01-30,19
Product_276,Sports,4097.61,217,2024-11-23,23
Product_277,Groceries,1466.44,61,2024-10-29,19
Product_278,Groceries,3408.78,134,2024-11-23,16
Product_279,Groceries,1472.75,271,2024-08-02,21
Product_280,Clothing,3350.44,317,2024-03-13,5
Product_281,Sports,4921.5,257,2024-02-29,3
Product_282,Electronics,376.49,293,2024-10-28,3
Product_283,Furniture,3286.09,475,2024-04-04,17
Product_284,Electronics,1448.78,409,2024-02-10,8
Product_285,Sports,460.32,77,2024-04-28,22
Product_286,Furniture,440.93,199,2024-02-05,12
Product_287,Sports,1889.74,394,2024-03-27,17
Product_288,Groceries,2726.03,416,2024-10-03,14
Product_289,Furniture,3254.11,251,2024-05-10,9
Product_290,Groceries,2859.26,76,2024-11-09,22
Product_291,Electronics,4494.88,102,2024-09-10,3
Product_292,Electronics,809.99,306,2024-03-08,2
Product_293,Furniture,4153.58,493,2024-05-01,20
Product_294,Furniture,2664.73,69,2024-05-29,14
Product_295,Sports,4309.79,436,2024-07-10,22
Product_296,Sports,2161.98,402,2024-02-06,23
Product_297,Groceries,2434.91,91,2024-08-26,3
Product_298,Furniture,2140.47,279,2024-11-09,17
Product_299,Electronics,527.51,151,2024-01-16,20
Product_300,Sports,767.78,418,2024-08-08,23
Product_301,Sports,2611.77,496,2024-03-08,4
Product_302,Electronics,2689.38,262,2024-02-07,21
Product_303,Sports,2365.6,456,2024-02-04,12
Product_304,Groceries,113.58,0,2024-01-01,15
Product_305,Furniture,2552.61,242,2024-06-30,8
Product_306,Electronics,711.94,51,2024-07-16,8
Product_307,Furniture,2853.55,453,2024-03-16,19
Product_308,Sports,1476.95,233,2024-07-01,5
Product_309,Sports,4957.92,267,2024-05-28,1
Product_310,Electronics,1828.28,27,2024-02-20,7
Product_311,Groceries,4112.99,103,2024-10-05,7
Product_312,Clothing,1265.69,293,2024-05-16,24
Product_313,Electronics,987.95,219,2024-11-04,15
Product_314,Clothing,1144.39,281,2024-09-10,3
Product_315,Clothing,1698.93,370,2024-05-24,16
Product_316,Groceries,4251.89,226,2024-11-01,1
Product_317,Clothing,3831.6,145,2024-07-01,11
Product_318,Clothing,2205.37,474,2024-12-06,8
Product_319,Groceries,981.04,56,2024-05-11,16
Product_320,Clothing,291.1,312,2024-05-05,5
Product_321,Clothing,3111.78,49,2024-08-03,10
Product_322,Clothing,3548.42,9,2024-08-13,23
Product_323,Electronics,3050.39,46,2024-05-25,1
Product_324,Electronics,2531.21,143,2024-10-31,20
Product_325,Electronics,4865.67,327,2024-06-08,22
Product_326,Groceries,172.08,315,2024-03-20,11
Product_327,Sports,4942.62,426,2024-07-01,23
Product_328,Clothing,1417.76,198,2024-03-24,2
Product_329,Clothing,1946.57,76,2024-05-15,5
Product_330,Groceries,3775.04,309,2024-06-19,11
Product_331,Clothing,1174.22,58,2024-08-29,8
Product_332,Electronics,3563.76,43,2024-05-13,19
Product_333,Sports,1696.13,47,2024-06-01,1
Product_334,Furniture,4705.76,238,2024-06-26,11
Product_335,Clothing,899.95,202,2024-09-02,18
Product_336,Electronics,4662.33,447,2024-09-18,13
Product_337,Furniture,3965.81,308,2024-03-03,19
Product_338,Sports,892.67,418,2024-03-12,18
Product_339,Furniture,1968.77,68,2024-11-22,14
Product_340,Electronics,566.27,156,2024-06-30,5
Product_341,Furniture,3018.62,342,2024-04-17,11
Product_342,Groceries,4804.61,307,2024-08-27,3
Product_343,Furniture,442.19,36,2024-12-10,24
Product_344,Clothing,1327.66,121,2024-12-18,12
Product_345,Clothing,3789.02,468,2024-05-15,14
Product_346,Groceries,2318.66,225,2024-12-05,17
Product_347,Electronics,1727.83,289,2024-06-04,19
Product_348,Clothing,3025.89,16,2024-05-25,11
Product_349,Sports,1505.16,48,2024-03-19,4
Product_350,Clothing,1677.84,497,2024-09-28,13
Product_351,Clothing,4040.25,12,2024-09-21,21
Product_352,Electronics,1988.34,438,2024-08-15,10
Product_353,Furniture,3517.76,191,2024-08-24,6
Product_354,Clothing,796.28,388,2024-09-17,4
Product_355,Groceries,2024.16,94,2024-05-22,9
Product_356,Furniture,2782.01,244,2024-11-08,8
Product_357,Sports,1373.12,208,2024-05-24,24
Product_358,Electronics,2136.93,471,2024-05-05,17
Product_359,Sports,3811.13,464,2024-08-17,15
Product_360,Furniture,849.45,303,2024-04-05,22
Product_361,Furniture,2528.72,237,2024-06-06,7
Product_362,Furniture,1345.82,79,2024-04-05,10
Product_363,Sports,2080.68,217,2024-07-13,22
Product_364,Furniture,1908.17,404,2024-08-16,5
Product_365,Sports,3293.93,458,2024-11-14,24
Product_366,Furniture,3847.48,151,2024-07-04,20
Product_367,Groceries,2523.7,497,2024-05-19,24
Product_368,Furniture,874.6,94,2024-12-12,20
Product_369,Sports,4349.69,165,2024-09-27,1
Product_370,Clothing,971.7,3,2024-07-31,7
Product_371,Furniture,2913.33,261,2024-03-05,17
Product_372,Clothing,2660.15,161,2024-08-26,18
Product_373,Groceries,1468.97,429,2024-12-08,19
Product_374,Electronics,4767.09,254,2024-04-25,1
Product_375,Groceries,3399.49,406,2024-05-13,22
Product_376,Furniture,2376.41,432,2024-06-03,19
Product_377,Clothing,2245.26,145,2024-03-01,15
Product_378,Clothing,507.65,293,2024-11-30,19
Product_379,Sports,3914.37,100,2024-12-10,9
Product_380,Clothing,464.04,208,2024-06-08,8
Product_381,Sports,1043.57,31,2024-02-01,2
Product_382,Electronics,864.25,239,2024-10-27,15
Product_383,Furniture,387.37,112,2024-11-30,9
Product_384,Sports,4156.44,62,2024-01-26,2
Product_385,Electronics,4536.16,149,2024-12-10,2
Product_386,Clothing,3146.31,458,2024-05-25,3
Product_387,Clothing,4394.89,380,2024-07-29,15
Product_388,Electronics,3391.56,364,2024-10-31,19
Product_389,Clothing,3440.78,123,2024-11-02,24
Product_390,Electronics,4452.88,34,2024-07-30,13
Product_391,Sports,505.05,445,2024-11-26,16
Product_392,Sports,320.92,246,2024-01-25,15
Product_393,Electronics,315.28,138,2024-09-16,18
Product_394,Sports,2118.63,275,2024-12-15,17
Product_395,Sports,4734.65,73,2024-12-02,15
Product_396,Sports,4356.17,27,2024-07-31,15
Product_397,Groceries,3920.72,315,2024-11-17,5
Product_398,Furniture,2049.38,430,2024-11-30,11
Product_399,Clothing,4129.7,166,2024-11-10,1
Product_400,Groceries,1131.53,223,2024-12-16,19
Product_401,Sports,2947.49,116,2024-04-08,22
Product_402,Electronics,3742.32,444,2024-09-24,6
Product_403,Sports,507.58,326,2024-01-24,5
Product_404,Furniture,4376.97,185,2024-07-11,1
Product_405,Sports,3650.23,386,2024-06-18,1
Product_406,Electronics,2689.73,407,2024-01-01,19
Product_407,Furniture,358.92,134,2024-11-10,10
Product_408,Sports,3487.87,68,2024-12-08,24
Product_409,Furniture,2263.89,50,2024-09-09,9
Product_410,Clothing,3696.55,329,2024-06-14,7
Product_411,Clothing,230.03,377,2024-11-23,3
Product_412,Sports,2895.06,20,2024-12-30,19
Product_413,Furniture,2262.75,16,2024-01-30,15
Product_414,Electronics,2177.59,333,2024-05-25,21
Product_415,Sports,2611.98,311,2024-10-13,4
Product_416,Clothing,662.16,93,2024-11-17,20
Product_417,Clothing,4680.49,453,2024-07-12,13
Product_418,Sports,3538.28,243,2024-10-25,5
Product_419,Furniture,470.0,90,2024-06-25,13
Product_420,Clothing,443.33,495,2024-01-04,6
Product_421,Furniture,1092.78,3,2024-04-29,18
Product_422,Clothing,1236.63,190,2024-07-20,14
Product_423,Clothing,2486.14,153,2024-06-04,23
Product_424,Groceries,2705.45,256,2024-06-28,1
Product_425,Clothing,771.75,490,2024-04-07,20
Product_426,Electronics,4868.98,240,2024-03-16,14
Product_427,Sports,4132.61,455,2024-07-05,1
Product_428,Sports,3185.76,474,2024-12-03,21
Product_429,Furniture,1425.63,245,2024-05-04,1
Product_430,Clothing,4556.18,323,2024-01-16,15
Product_431,Electronics,1610.46,418,2024-08-22,21
Product_432,Furniture,1630.22,368,2024-10-15,9
Product_433,Groceries,1796.98,392,2024-04-25,1
Product_434,Furniture,287.28,121,2024-11-15,9
Product_435,Furniture,356.18,82,2024-06-13,10
Product_436,Clothing,2405.23,109,2024-02-10,24
Product_437,Groceries,4414.68,166,2024-05-24,4
Product_438,Furniture,4714.76,451,2024-07-04,7
Product_439,Electronics,3889.8,316,2024-10-15,17
Product_440,Electronics,2051.89,231,2024-06-07,11
Product_441,Sports,1586.93,474,2024-02-14,15
Product_442,Groceries,1117.74,135,2024-04-24,3
Product_443,Groceries,2715.33,484,2024-03-09,13
Product_444,Sports,2438.18,348,2024-12-24,11
Product_445,Furniture,2361.14,125,2024-01-22,20
Product_446,Groceries,1615.3,159,2024-03-24,17
Product_447,Electronics,2930.54,429,2024-02-05,9
Product_448,Electronics,3059.26,393,2024-09-04,9
Product_449,Clothing,4382.21,274,2024-11-18,19
Product_450,Groceries,3818.95,255,2024-03-17,19
Product_451,Furniture,1682.95,436,2024-08-13,12
Product_452,Sports,1928.71,145,2024-05-20,19
Product_453,Sports,1235.52,189,2024-06-28,15
Product_454,Furniture,895.72,253,2024-05-28,12
Product_455,Clothing,589.01,345,2024-08-01,11
Product_456,Sports,218.9,29,2024-09-19,21
Product_457,Groceries,2117.52,476,2024-10-18,21
Product_458,Clothing,4797.65,469,2024-03-02,3
Product_459,Groceries,2713.16,43,2024-12-03,10
Product_460,Electronics,3723.68,459,2024-08-28,24
Product_461,Clothing,2018.73,174,2024-06-26,7
Product_462,Sports,1952.81,406,2024-03-08,19
Product_463,Clothing,669.75,61,2024-09-12,7
Product_464,Clothing,1534.26,188,2024-02-10,20
Product_465,Clothing,4646.93,181,2024-11-19,19
Product_466,Clothing,2476.5,8,2024-02-16,14
Product_467,Groceries,1061.5,202,2024-10-01,24
Product_468,Electronics,3335.58,276,2024-06-12,12
Product_469,Furniture,2056.97,458,2024-04-06,24
Product_470,Clothing,4145.3,94,2024-06-10,2
Product_471,Sports,509.5,487,2024-09-10,19
Product_472,Clothing,2632.95,95,2024-07-10,18
Product_473,Sports,4016.0,40,2024-10-19,20
Product_474,Groceries,4276.23,271,2024-12-24,9
Product_475,Sports,2011.91,238,2024-08-22,9
Product_476,Furniture,3718.15,203,2024-02-08,18
Product_477,Electronics,4830.26,9,2024-12-28,2
Product_478,Sports,3128.54,197,2024-05-12,11
Product_479,Sports,4067.37,100,2024-07-31,18
Product_480,Electronics,2890.06,339,2024-08-20,2
Product_481,Furniture,3961.55,290,2024-02-07,5
Product_482,Clothing,4706.46,230,2024-04-11,21
Product_483,Sports,3571.74,425,2024-06-27,2
Product_484,Electronics,814.42,330,2024-10-12,7
Product_485,Groceries,455.5,1,2024-07-19,12
Product_486,Electronics,4069.83,274,2024-12-03,21
Product_487,Groceries,1328.91,409,2024-06-12,23
Product_488,Furniture,4382.56,418,2024-03-08,22
Product_489,Clothing,1020.97,313,2024-09-22,14
Product_490,Electronics,4559.68,189,2024-02-06,17
Product_491,Sports,4035.82,492,2024-09-06,11
Product_492,Furniture,4412.25,129,2024-07-14,11
Product_493,Electronics,1201.9,273,2024-04-10,15
Product_494,Sports,4398.74,157,2024-11-28,14
Product_495,Electronics,2958.42,252,2024-01-23,2
Product_496,Groceries,465.84,276,2024-11-05,10
Product_497,Electronics,4658.65,396,2024-07-12,9
Product_498,Electronics,1013.48,410,2024-09-06,18
Product_499,Electronics,1106.82,65,2024-12-30,20
Product_500,Furniture,3534.95,245,2024-10-27,19
Product_501,Electronics,2936.17,379,2024-06-19,8
Product_502,Sports,4519.81,284,2024-04-25,17
Product_503,Groceries,1569.42,346,2024-08-29,21
Product_504,Groceries,256.52,378,2024-06-22,22
Product_505,Electronics,4975.25,213,2024-04-07,8
Product_506,Furniture,1598.08,57,2024-02-19,5
Product_507,Furniture,851.54,494,2024-02-25,22
Product_508,Sports,4922.69,414,2024-03-07,18
Product_509,Electronics,2836.32,175,2024-09-02,20
Product_510,Groceries,786.85,79,2024-06-03,6
Product_511,Furniture,4187.32,252,2024-09-28,14
Product_512,Electronics,4729.82,337,2024-05-15,18
Product_513,Furniture,4412.34,0,2024-12-24,21
Product_514,Furniture,1033.17,100,2024-06-19,1
Product_515,Groceries,310.81,235,2024-08-30,10
Product_516,Clothing,1887.93,258,2024-07-06,1
Product_517,Sports,1806.48,130,2024-04-24,16
Product_518,Sports,2059.3,52,2024-01-16,22
Product_519,Groceries,4004.95,456,2024-01-12,11
Product_520,Furniture,97.75,331,2024-02-07,20
Product_521,Electronics,3390.33,229,2024-06-18,5
Product_522,Furniture,4926.51,98,2024-06-01,24
Product_523,Groceries,2025.81,295,2024-05-29,15
Product_524,Sports,2451.03,151,2024-10-16,2
Product_525,Furniture,3158.48,433,2024-07-12,18
Product_526,Sports,1463.64,161,2024-06-10,2
Product_527,Electronics,3606.66,119,2024-08-30,22
Product_528,Sports,1054.84,258,2024-01-22,7
Product_529,Sports,370.72,417,2024-02-18,19
Product_530,Clothing,4016.58,26,2024-07-28,5
Product_531,Clothing,923.77,196,2024-03-08,16
Product_532,Clothing,3670.89,281,2024-06-30,20
Product_533,Sports,4362.97,169,2024-10-01,14
Product_534,Groceries,276.58,426,2024-10-01,10
Product_535,Sports,3548.14,445,2024-06-07,5
Product_536,Groceries,3248.87,378,2024-07-17,19
Product_537,Groceries,3138.2,371,2024-01-17,14
Product_538,Clothing,1512.02,463,2024-01-23,23
Product_539,Furniture,275.87,76,2024-05-13,6
Product_540,Electronics,537.51,41,2024-04-26,22
Product_541,Clothing,1400.93,242,2024-09-02,3
Product_542,Clothing,2060.63,242,2024-07-05,12
